,bps_recv,bps_sent,pps_recv,pps_sent,avg_pkt_size_recv,avg_pkt_size_sent
mean,911144.3610846084,528880.78747735,764.5535224950568,600.7041310642361,401.9563339592029,142.97024471125428
max,67373730.8785839,125574091.26142879,45884.65090949649,84230.72254243976,2328.0,1492.206298802707
p50,4541.55620640019,1904.6188839299614,20.04404076637187,18.516961722107066,116.66265060240964,89.71428571428571
p95,5371910.632917935,94260.60342055556,4326.148227228527,1236.9719664625816,1462.7261891912726,550.0769230769231
p99,16448845.835569661,783914.7252891877,12885.830133256928,14121.204169552122,1490.207941940181,1039.140000000001
